"label","left_0_x","left_0_y","left_1_x","left_1_y","left_2_x","left_2_y","left_3_x","left_3_y","left_4_x","left_4_y","left_5_x","left_5_y","left_6_x","left_6_y","left_7_x","left_7_y","left_8_x","left_8_y","left_9_x","left_9_y","left_10_x","left_10_y","left_11_x","left_11_y","left_12_x","left_12_y","left_13_x","left_13_y","left_14_x","left_14_y","left_15_x","left_15_y","left_16_x","left_16_y","left_17_x","left_17_y","left_18_x","left_18_y","left_19_x","left_19_y","left_20_x","left_20_y","right_0_x","right_0_y","right_1_x","right_1_y","right_2_x","right_2_y","right_3_x","right_3_y","right_4_x","right_4_y","right_5_x","right_5_y","right_6_x","right_6_y","right_7_x","right_7_y","right_8_x","right_8_y","right_9_x","right_9_y","right_10_x","right_10_y","right_11_x","right_11_y","right_12_x","right_12_y","right_13_x","right_13_y","right_14_x","right_14_y","right_15_x","right_15_y","right_16_x","right_16_y","right_17_x","right_17_y","right_18_x","right_18_y","right_19_x","right_19_y","right_20_x","right_20_y","left_roll","left_pitch","left_yaw","right_roll","right_pitch","right_yaw","capture_mode","hand_presence","left_points_visible","right_points_visible","left_fallback_used","right_fallback_used","curation_action","timestamp_unix_ms"
"a","0.342063","0.508034","0.37442","0.489206","0.398401","0.445017","0.403816","0.398255","0.41119","0.362151","0.3845","0.396893","0.387855","0.358813","0.380513","0.393393","0.374329","0.429449","0.365518","0.39058","0.368242","0.353653","0.362238","0.398233","0.35889","0.435315","0.346973","0.389555","0.347874","0.353927","0.345585","0.400877","0.344988","0.435844","0.327536","0.39415","0.329579","0.361186","0.331093","0.393865","0.332442","0.420237","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","118.217461","-80.164955","-149.468445","-2.31806","14.32873","-29.277109","static","left_only","21","0","0","0","keep","1.77E+12"
"b","0.380665","0.650591","0.413554","0.611234","0.432088","0.554748","0.422446","0.513165","0.403864","0.50639","0.415762","0.502025","0.419198","0.440943","0.419339","0.399677","0.418526","0.363046","0.395995","0.494597","0.401711","0.434428","0.404663","0.390109","0.407239","0.351589","0.37764","0.495978","0.379724","0.438359","0.383533","0.397943","0.387015","0.364336","0.35919","0.50618","0.357413","0.460474","0.357341","0.42951","0.358044","0.401225","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-77.129288","-80.872116","-87.59523","-39.337059","130.267731","-388.236115","static","left_only","21","0","0","0","keep","1.77E+12"
"b","0.371094","0.644056","0.397746","0.622794","0.415648","0.579939","0.410823","0.544552","0.393164","0.546165","0.400492","0.523022","0.405694","0.479058","0.406798","0.450288","0.407155","0.424003","0.385146","0.516026","0.390312","0.467563","0.393182","0.434502","0.395174","0.406194","0.370795","0.519353","0.373214","0.472846","0.376363","0.442248","0.378623","0.416949","0.356022","0.530965","0.356818","0.493022","0.358758","0.468275","0.360854","0.446221","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-160.547775","-80.602592","-97.532562","2.65194","74.442734","-498.069122","static","left_only","21","0","0","0","keep","1.77E+12"
"c","0.363484","0.564867","0.398077","0.552405","0.422674","0.53283","0.443496","0.522991","0.462751","0.516341","0.409186","0.454466","0.42417","0.417756","0.437836","0.405589","0.45","0.400311","0.400954","0.444457","0.417987","0.40141","0.434562","0.392462","0.44809","0.397617","0.391505","0.438121","0.408262","0.394498","0.426319","0.389112","0.441175","0.39675","0.382876","0.436985","0.397825","0.398182","0.412999","0.389771","0.427075","0.393204","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.765862","-77.436195","-232.443146","-14.548059","113.859734","-550.931091","static","left_only","21","0","0","0","keep","1.77E+12"
"d","0.405035","0.625987","0.43388","0.592669","0.454717","0.557242","0.467194","0.530387","0.466882","0.512626","0.430294","0.477795","0.424201","0.40965","0.420917","0.369042","0.415636","0.332826","0.417761","0.483283","0.422032","0.433259","0.443382","0.4607","0.453696","0.493265","0.40496","0.494731","0.406914","0.444496","0.429914","0.469088","0.442389","0.501611","0.391603","0.512088","0.395226","0.471921","0.412858","0.479824","0.425055","0.500248","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-67.452698","-65.478973","-42.91256","-29.463058","181.305725","-633.841125","static","left_only","21","0","0","0","keep","1.77E+12"
"d","0.377653","0.619935","0.399639","0.599191","0.416725","0.570657","0.429814","0.551272","0.431443","0.534477","0.401083","0.511592","0.400141","0.460164","0.401855","0.42995","0.399617","0.404068","0.394258","0.512063","0.402895","0.47055","0.419354","0.491068","0.424526","0.514953","0.386174","0.516397","0.392495","0.474952","0.408239","0.493885","0.414513","0.518126","0.377584","0.524716","0.38306","0.493561","0.395904","0.496965","0.403591","0.50946","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-60.856316","-69.029114","-52.232239","-38.937061","227.239731","-656.307129","static","left_only","21","0","0","0","keep","1.77E+12"
"e","0.350212","0.582763","0.377333","0.566193","0.397022","0.529307","0.394467","0.497805","0.377911","0.487952","0.383317","0.464027","0.387822","0.411253","0.387405","0.431419","0.385134","0.459454","0.366473","0.458016","0.370124","0.398476","0.368881","0.426624","0.368373","0.455532","0.351058","0.457818","0.351965","0.401038","0.352603","0.425087","0.352997","0.454628","0.33533","0.465265","0.33466","0.42186","0.337539","0.431377","0.340063","0.451875","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","159.665604","-78.003601","-58.430168","-46.524059","252.835724","-665.103088","static","left_only","21","0","0","0","keep","1.77E+12"
"f","0.353419","0.641142","0.381564","0.618611","0.401189","0.578185","0.407213","0.537988","0.391191","0.521141","0.384199","0.509095","0.391279","0.469243","0.390884","0.487535","0.387662","0.514077","0.369613","0.500987","0.377738","0.449581","0.381224","0.419731","0.385207","0.390189","0.356578","0.50343","0.362171","0.456051","0.366321","0.425784","0.370509","0.401145","0.34163","0.51466","0.346203","0.476376","0.348548","0.451001","0.352044","0.429551","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164.466965","-77.656525","-141.496094","-54.75806","286.282745","-687.937134","static","left_only","21","0","0","0","keep","1.77E+12"
"f","0.346503","0.634182","0.374597","0.611143","0.392797","0.570556","0.38986","0.533739","0.376011","0.517739","0.379614","0.523082","0.384282","0.486957","0.379395","0.509334","0.373468","0.532832","0.363413","0.5117","0.370582","0.46505","0.375202","0.435297","0.380536","0.402598","0.34824","0.510702","0.351569","0.463774","0.355496","0.433996","0.359959","0.406924","0.332134","0.518875","0.33538","0.480137","0.338308","0.457179","0.342095","0.436931","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","176.950989","-62.988987","-97.101074","-59.36306","310.44574","-710.609131","static","left_only","21","0","0","0","keep","1.77E+12"
"g","0.356535","0.655717","0.35961","0.611404","0.348942","0.56934","0.33903","0.532914","0.338192","0.499518","0.312484","0.573901","0.284652","0.558227","0.266718","0.552724","0.251781","0.548218","0.307314","0.600153","0.296613","0.605844","0.317567","0.623248","0.333424","0.631706","0.304861","0.627559","0.294271","0.632991","0.315625","0.643884","0.331295","0.647142","0.30458","0.654102","0.295296","0.65732","0.311525","0.661682","0.324236","0.66021","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-72.696053","-26.173271","11.31636","-74.435059","368.66272","-754.514099","static","left_only","21","0","0","0","keep","1.77E+12"
